"location","measure","state","barrier","unit","min","max"
"HOR","Net","U","Closed","cfs",376.021666666667,4218.03527777778
"HOR","Net","U","Open","cfs",770.192361111111,4021.61166666667
"HOR","Net","D","Closed","cfs",191.690416666667,3460.06041666667
"HOR","Net","D","Open","cfs",135.390416666667,1713.47069444444
"HOR","Net","T","Closed","cfs",177.360694444444,761.169444444444
"HOR","Net","T","Open","cfs",611.209305555555,2424.67222222222
"HOR","Tidal","U","Closed","cfs",-1871.37666666667,1136.80097222222
"HOR","Tidal","U","Open","cfs",-1948.33375,1386.32222222222
"HOR","Tidal","D","Closed","cfs",-2134.24569444444,1276.09222222222
"HOR","Tidal","D","Open","cfs",-2262.68097222222,1766.03083333333
"HOR","Tidal","T","Closed","cfs",-467.494444444444,194.052916666667
"HOR","Tidal","T","Open","cfs",-1925.32402777778,850.092083333333
"TC","Net","U","Open","cfs",-164.708194444444,2539.70472222222
"TC","Net","D","Open","cfs",-599.859722222222,2392.40722222222
"TC","Net","T","Open","cfs",-535.704333333333,-15.1444861111111
"TC","Tidal","U","Open","cfs",-13574.5909722222,11324.7190277778
"TC","Tidal","D","Open","cfs",-19354.9276388889,16428.3577777778
"TC","Tidal","T","Open","cfs",-4163.91959722222,3578.75454166667
